,,,MIN,MAX,AVG
sort1_ w: 1 o: 0 n: 10 ,78,,57,79,69.5
sort1_ w: 1 o: 200 n: 10 ,57,,,,
sort1_ w: 1 o: 400 n: 10 ,69,,,,
sort1_ w: 1 o: 800 n: 10 ,73,,,,
sort1_ w: 1 o: 1000 n: 10 ,79,,,,
sort1_ w: 1 o: 1200 n: 10 ,69,,,,
sort1_ w: 1 o: 1400 n: 10 ,71,,,,
sort1_ w: 1 o: 1600 n: 10 ,58,,,,
sort1_ w: 1 o: 1800 n: 10 ,69,,,,
sort1_ w: 1 o: 2000 n: 10 ,72,,,,
,,,,,
sort1_ w: 2 o: 0 n: 10 ,132,,126,141,131.7
sort1_ w: 2 o: 200 n: 10 ,126,,,,
sort1_ w: 2 o: 400 n: 10 ,131,,,,
sort1_ w: 2 o: 800 n: 10 ,141,,,,
sort1_ w: 2 o: 1000 n: 10 ,128,,,,
sort1_ w: 2 o: 1200 n: 10 ,133,,,,
sort1_ w: 2 o: 1400 n: 10 ,133,,,,
sort1_ w: 2 o: 1600 n: 10 ,132,,,,
sort1_ w: 2 o: 1800 n: 10 ,129,,,,
sort1_ w: 2 o: 2000 n: 10 ,132,,,,
,,,,,
sort1_ w: 5 o: 0 n: 10 ,295,,289,301,296.4
sort1_ w: 5 o: 200 n: 10 ,294,,,,
sort1_ w: 5 o: 400 n: 10 ,299,,,,
sort1_ w: 5 o: 800 n: 10 ,295,,,,
sort1_ w: 5 o: 1000 n: 10 ,289,,,,
sort1_ w: 5 o: 1200 n: 10 ,298,,,,
sort1_ w: 5 o: 1400 n: 10 ,299,,,,
sort1_ w: 5 o: 1600 n: 10 ,300,,,,
sort1_ w: 5 o: 1800 n: 10 ,294,,,,
sort1_ w: 5 o: 2000 n: 10 ,301,,,,
,,,,,
,,,,,
sort1_ w: 1 o: 0 n: 20 ,307,,281,307,296.3
sort1_ w: 1 o: 200 n: 20 ,281,,,,
sort1_ w: 1 o: 400 n: 20 ,298,,,,
sort1_ w: 1 o: 800 n: 20 ,302,,,,
sort1_ w: 1 o: 1000 n: 20 ,301,,,,
sort1_ w: 1 o: 1200 n: 20 ,291,,,,
sort1_ w: 1 o: 1400 n: 20 ,293,,,,
sort1_ w: 1 o: 1600 n: 20 ,295,,,,
sort1_ w: 1 o: 1800 n: 20 ,301,,,,
sort1_ w: 1 o: 2000 n: 20 ,294,,,,
,,,,,
sort1_ w: 2 o: 0 n: 20 ,485,,485,508,494.6
sort1_ w: 2 o: 200 n: 20 ,508,,,,
sort1_ w: 2 o: 400 n: 20 ,490,,,,
sort1_ w: 2 o: 800 n: 20 ,491,,,,
sort1_ w: 2 o: 1000 n: 20 ,494,,,,
sort1_ w: 2 o: 1200 n: 20 ,502,,,,
sort1_ w: 2 o: 1400 n: 20 ,486,,,,
sort1_ w: 2 o: 1600 n: 20 ,499,,,,
sort1_ w: 2 o: 1800 n: 20 ,486,,,,
sort1_ w: 2 o: 2000 n: 20 ,505,,,,
,,,,,
sort1_ w: 5 o: 0 n: 20 ,1130,,1120,1135,1127.2
sort1_ w: 5 o: 200 n: 20 ,1135,,,,
sort1_ w: 5 o: 400 n: 20 ,1126,,,,
sort1_ w: 5 o: 800 n: 20 ,1129,,,,
sort1_ w: 5 o: 1000 n: 20 ,1122,,,,
sort1_ w: 5 o: 1200 n: 20 ,1129,,,,
sort1_ w: 5 o: 1400 n: 20 ,1126,,,,
sort1_ w: 5 o: 1600 n: 20 ,1120,,,,
sort1_ w: 5 o: 1800 n: 20 ,1128,,,,
sort1_ w: 5 o: 2000 n: 20 ,1127,,,,
,,,,,
,,,,,
sort1_ w: 1 o: 0 n: 30 ,653,,636,682,661.3
sort1_ w: 1 o: 200 n: 30 ,652,,,,
sort1_ w: 1 o: 400 n: 30 ,640,,,,
sort1_ w: 1 o: 800 n: 30 ,679,,,,
sort1_ w: 1 o: 1000 n: 30 ,659,,,,
sort1_ w: 1 o: 1200 n: 30 ,669,,,,
sort1_ w: 1 o: 1400 n: 30 ,682,,,,
sort1_ w: 1 o: 1600 n: 30 ,636,,,,
sort1_ w: 1 o: 1800 n: 30 ,673,,,,
sort1_ w: 1 o: 2000 n: 30 ,670,,,,
,,,,,
sort1_ w: 2 o: 0 n: 30 ,1081,,1069,1131,1099.7
sort1_ w: 2 o: 200 n: 30 ,1107,,,,
sort1_ w: 2 o: 400 n: 30 ,1110,,,,
sort1_ w: 2 o: 800 n: 30 ,1100,,,,
sort1_ w: 2 o: 1000 n: 30 ,1131,,,,
sort1_ w: 2 o: 1200 n: 30 ,1069,,,,
sort1_ w: 2 o: 1400 n: 30 ,1097,,,,
sort1_ w: 2 o: 1600 n: 30 ,1096,,,,
sort1_ w: 2 o: 1800 n: 30 ,1101,,,,
sort1_ w: 2 o: 2000 n: 30 ,1105,,,,
,,,,,
sort1_ w: 5 o: 0 n: 30 ,2488,,2464,2498,2489
sort1_ w: 5 o: 200 n: 30 ,2488,,,,
sort1_ w: 5 o: 400 n: 30 ,2464,,,,
sort1_ w: 5 o: 800 n: 30 ,2496,,,,
sort1_ w: 5 o: 1000 n: 30 ,2494,,,,
sort1_ w: 5 o: 1200 n: 30 ,2487,,,,
sort1_ w: 5 o: 1400 n: 30 ,2488,,,,
sort1_ w: 5 o: 1600 n: 30 ,2498,,,,
sort1_ w: 5 o: 1800 n: 30 ,2491,,,,
sort1_ w: 5 o: 2000 n: 30 ,2496,,,,
,,,,,
,,,,,
sort1_ w: 1 o: 0 n: 40 ,1170,,1131,1197,1159.1
sort1_ w: 1 o: 200 n: 40 ,1163,,,,
sort1_ w: 1 o: 400 n: 40 ,1142,,,,
sort1_ w: 1 o: 800 n: 40 ,1131,,,,
sort1_ w: 1 o: 1000 n: 40 ,1165,,,,
sort1_ w: 1 o: 1200 n: 40 ,1197,,,,
sort1_ w: 1 o: 1400 n: 40 ,1144,,,,
sort1_ w: 1 o: 1600 n: 40 ,1136,,,,
sort1_ w: 1 o: 1800 n: 40 ,1161,,,,
sort1_ w: 1 o: 2000 n: 40 ,1182,,,,
,,,,,
sort1_ w: 2 o: 0 n: 40 ,1955,,1911,1955,1929.7
sort1_ w: 2 o: 200 n: 40 ,1922,,,,
sort1_ w: 2 o: 400 n: 40 ,1941,,,,
sort1_ w: 2 o: 800 n: 40 ,1927,,,,
sort1_ w: 2 o: 1000 n: 40 ,1932,,,,
sort1_ w: 2 o: 1200 n: 40 ,1926,,,,
sort1_ w: 2 o: 1400 n: 40 ,1924,,,,
sort1_ w: 2 o: 1600 n: 40 ,1933,,,,
sort1_ w: 2 o: 1800 n: 40 ,1926,,,,
sort1_ w: 2 o: 2000 n: 40 ,1911,,,,
,,,,,
sort1_ w: 5 o: 0 n: 40 ,4407,,4378,4419,4399.3
sort1_ w: 5 o: 200 n: 40 ,4408,,,,
sort1_ w: 5 o: 400 n: 40 ,4401,,,,
sort1_ w: 5 o: 800 n: 40 ,4387,,,,
sort1_ w: 5 o: 1000 n: 40 ,4378,,,,
sort1_ w: 5 o: 1200 n: 40 ,4404,,,,
sort1_ w: 5 o: 1400 n: 40 ,4394,,,,
sort1_ w: 5 o: 1600 n: 40 ,4399,,,,
sort1_ w: 5 o: 1800 n: 40 ,4396,,,,
sort1_ w: 5 o: 2000 n: 40 ,4419,,,,
,,,,,
,,,,,
sort1_ w: 1 o: 0 n: 50 ,1783,,1689,1836,1791.3
sort1_ w: 1 o: 200 n: 50 ,1801,,,,
sort1_ w: 1 o: 400 n: 50 ,1825,,,,
sort1_ w: 1 o: 800 n: 50 ,1786,,,,
sort1_ w: 1 o: 1000 n: 50 ,1836,,,,
sort1_ w: 1 o: 1200 n: 50 ,1812,,,,
sort1_ w: 1 o: 1400 n: 50 ,1818,,,,
sort1_ w: 1 o: 1600 n: 50 ,1689,,,,
sort1_ w: 1 o: 1800 n: 50 ,1763,,,,
sort1_ w: 1 o: 2000 n: 50 ,1800,,,,
,,,,,
sort1_ w: 2 o: 0 n: 50 ,3022,,2995,3023,3010.9
sort1_ w: 2 o: 200 n: 50 ,2995,,,,
sort1_ w: 2 o: 400 n: 50 ,3023,,,,
sort1_ w: 2 o: 800 n: 50 ,3011,,,,
sort1_ w: 2 o: 1000 n: 50 ,3015,,,,
sort1_ w: 2 o: 1200 n: 50 ,3000,,,,
