in = 00000000000, out = 0000000000000000
in = 00000000001, out = 0000000000001111
in = 00000000010, out = 0000000000110011
in = 00000000011, out = 0000000000111100
in = 00000000100, out = 0000000001010101
in = 00000000101, out = 0000000001011010
in = 00000000110, out = 0000000001100110
in = 00000000111, out = 0000000001101001
in = 00000001000, out = 0000000010010110
in = 00000001001, out = 0000000010011001
in = 00000001010, out = 0000000010100101
in = 00000001011, out = 0000000010101010
in = 00000001100, out = 0000000011000011
in = 00000001101, out = 0000000011001100
in = 00000001110, out = 0000000011110000
in = 00000001111, out = 0000000011111111
in = 00000010000, out = 0000001100000011
in = 00000010001, out = 0000001100001100
in = 00000010010, out = 0000001100110000
in = 00000010011, out = 0000001100111111
in = 00000010100, out = 0000001101010110
in = 00000010101, out = 0000001101011001
in = 00000010110, out = 0000001101100101
in = 00000010111, out = 0000001101101010
in = 00000011000, out = 0000001110010101
in = 00000011001, out = 0000001110011010
in = 00000011010, out = 0000001110100110
in = 00000011011, out = 0000001110101001
in = 00000011100, out = 0000001111000000
in = 00000011101, out = 0000001111001111
in = 00000011110, out = 0000001111110011
in = 00000011111, out = 0000001111111100
in = 00000100000, out = 0000010100000101
in = 00000100001, out = 0000010100001010
in = 00000100010, out = 0000010100110110
in = 00000100011, out = 0000010100111001
in = 00000100100, out = 0000010101010000
in = 00000100101, out = 0000010101011111
in = 00000100110, out = 0000010101100011
in = 00000100111, out = 0000010101101100
in = 00000101000, out = 0000010110010011
in = 00000101001, out = 0000010110011100
in = 00000101010, out = 0000010110100000
in = 00000101011, out = 0000010110101111
in = 00000101100, out = 0000010111000110
in = 00000101101, out = 0000010111001001
in = 00000101110, out = 0000010111110101
in = 00000101111, out = 0000010111111010
in = 00000110000, out = 0000011000000110
in = 00000110001, out = 0000011000001001
in = 00000110010, out = 0000011000110101
in = 00000110011, out = 0000011000111010
in = 00000110100, out = 0000011001010011
in = 00000110101, out = 0000011001011100
in = 00000110110, out = 0000011001100000
in = 00000110111, out = 0000011001101111
in = 00000111000, out = 0000011010010000
in = 00000111001, out = 0000011010011111
in = 00000111010, out = 0000011010100011
in = 00000111011, out = 0000011010101100
in = 00000111100, out = 0000011011000101
in = 00000111101, out = 0000011011001010
in = 00000111110, out = 0000011011110110
in = 00000111111, out = 0000011011111001
in = 00001000000, out = 0000100100000110
in = 00001000001, out = 0000100100001001
in = 00001000010, out = 0000100100110101
in = 00001000011, out = 0000100100111010
in = 00001000100, out = 0000100101010011
in = 00001000101, out = 0000100101011100
in = 00001000110, out = 0000100101100000
in = 00001000111, out = 0000100101101111
in = 00001001000, out = 0000100110010000
in = 00001001001, out = 0000100110011111
in = 00001001010, out = 0000100110100011
in = 00001001011, out = 0000100110101100
in = 00001001100, out = 0000100111000101
in = 00001001101, out = 0000100111001010
in = 00001001110, out = 0000100111110110
in = 00001001111, out = 0000100111111001
in = 00001010000, out = 0000101000000101
in = 00001010001, out = 0000101000001010
in = 00001010010, out = 0000101000110110
in = 00001010011, out = 0000101000111001
in = 00001010100, out = 0000101001010000
in = 00001010101, out = 0000101001011111
in = 00001010110, out = 0000101001100011
in = 00001010111, out = 0000101001101100
in = 00001011000, out = 0000101010010011
in = 00001011001, out = 0000101010011100
in = 00001011010, out = 0000101010100000
in = 00001011011, out = 0000101010101111
in = 00001011100, out = 0000101011000110
in = 00001011101, out = 0000101011001001
in = 00001011110, out = 0000101011110101
in = 00001011111, out = 0000101011111010
in = 00001100000, out = 0000110000000011
in = 00001100001, out = 0000110000001100
in = 00001100010, out = 0000110000110000
in = 00001100011, out = 0000110000111111
in = 00001100100, out = 0000110001010110
in = 00001100101, out = 0000110001011001
in = 00001100110, out = 0000110001100101
in = 00001100111, out = 0000110001101010
in = 00001101000, out = 0000110010010101
in = 00001101001, out = 0000110010011010
in = 00001101010, out = 0000110010100110
in = 00001101011, out = 0000110010101001
in = 00001101100, out = 0000110011000000
in = 00001101101, out = 0000110011001111
in = 00001101110, out = 0000110011110011
in = 00001101111, out = 0000110011111100
in = 00001110000, out = 0000111100000000
in = 00001110001, out = 0000111100001111
in = 00001110010, out = 0000111100110011
in = 00001110011, out = 0000111100111100
in = 00001110100, out = 0000111101010101
in = 00001110101, out = 0000111101011010
in = 00001110110, out = 0000111101100110
in = 00001110111, out = 0000111101101001
in = 00001111000, out = 0000111110010110
in = 00001111001, out = 0000111110011001
in = 00001111010, out = 0000111110100101
in = 00001111011, out = 0000111110101010
in = 00001111100, out = 0000111111000011
in = 00001111101, out = 0000111111001100
in = 00001111110, out = 0000111111110000
in = 00001111111, out = 0000111111111111
in = 00010000000, out = 0001000100010001
in = 00010000001, out = 0001000100011110
in = 00010000010, out = 0001000100100010
in = 00010000011, out = 0001000100101101
in = 00010000100, out = 0001000101000100
in = 00010000101, out = 0001000101001011
in = 00010000110, out = 0001000101110111
in = 00010000111, out = 0001000101111000
in = 00010001000, out = 0001000110000111
in = 00010001001, out = 0001000110001000
in = 00010001010, out = 0001000110110100
in = 00010001011, out = 0001000110111011
in = 00010001100, out = 0001000111010010
in = 00010001101, out = 0001000111011101
in = 00010001110, out = 0001000111100001
in = 00010001111, out = 0001000111101110
in = 00010010000, out = 0001001000010010
in = 00010010001, out = 0001001000011101
in = 00010010010, out = 0001001000100001
in = 00010010011, out = 0001001000101110
in = 00010010100, out = 0001001001000111
in = 00010010101, out = 0001001001001000
in = 00010010110, out = 0001001001110100
in = 00010010111, out = 0001001001111011
in = 00010011000, out = 0001001010000100
in = 00010011001, out = 0001001010001011
in = 00010011010, out = 0001001010110111
in = 00010011011, out = 0001001010111000
in = 00010011100, out = 0001001011010001
in = 00010011101, out = 0001001011011110
in = 00010011110, out = 0001001011100010
in = 00010011111, out = 0001001011101101
in = 00010100000, out = 0001010000010100
in = 00010100001, out = 0001010000011011
in = 00010100010, out = 0001010000100111
in = 00010100011, out = 0001010000101000
in = 00010100100, out = 0001010001000001
in = 00010100101, out = 0001010001001110
in = 00010100110, out = 0001010001110010
in = 00010100111, out = 0001010001111101
in = 00010101000, out = 0001010010000010
in = 00010101001, out = 0001010010001101
in = 00010101010, out = 0001010010110001
in = 00010101011, out = 0001010010111110
in = 00010101100, out = 0001010011010111
in = 00010101101, out = 0001010011011000
in = 00010101110, out = 0001010011100100
in = 00010101111, out = 0001010011101011
in = 00010110000, out = 0001011100010111
in = 00010110001, out = 0001011100011000
in = 00010110010, out = 0001011100100100
in = 00010110011, out = 0001011100101011
in = 00010110100, out = 0001011101000010
in = 00010110101, out = 0001011101001101
in = 00010110110, out = 0001011101110001
in = 00010110111, out = 0001011101111110
in = 00010111000, out = 0001011110000001
in = 00010111001, out = 0001011110001110
in = 00010111010, out = 0001011110110010
in = 00010111011, out = 0001011110111101
in = 00010111100, out = 0001011111010100
in = 00010111101, out = 0001011111011011
in = 00010111110, out = 0001011111100111
in = 00010111111, out = 0001011111101000
in = 00011000000, out = 0001100000010111
in = 00011000001, out = 0001100000011000
in = 00011000010, out = 0001100000100100
in = 00011000011, out = 0001100000101011
in = 00011000100, out = 0001100001000010
in = 00011000101, out = 0001100001001101
in = 00011000110, out = 0001100001110001
in = 00011000111, out = 0001100001111110
in = 00011001000, out = 0001100010000001
in = 00011001001, out = 0001100010001110
in = 00011001010, out = 0001100010110010
in = 00011001011, out = 0001100010111101
in = 00011001100, out = 0001100011010100
in = 00011001101, out = 0001100011011011
in = 00011001110, out = 0001100011100111
in = 00011001111, out = 0001100011101000
in = 00011010000, out = 0001101100010100
in = 00011010001, out = 0001101100011011
in = 00011010010, out = 0001101100100111
in = 00011010011, out = 0001101100101000
in = 00011010100, out = 0001101101000001
in = 00011010101, out = 0001101101001110
in = 00011010110, out = 0001101101110010
in = 00011010111, out = 0001101101111101
in = 00011011000, out = 0001101110000010
in = 00011011001, out = 0001101110001101
in = 00011011010, out = 0001101110110001
in = 00011011011, out = 0001101110111110
in = 00011011100, out = 0001101111010111
in = 00011011101, out = 0001101111011000
in = 00011011110, out = 0001101111100100
in = 00011011111, out = 0001101111101011
in = 00011100000, out = 0001110100010010
in = 00011100001, out = 0001110100011101
in = 00011100010, out = 0001110100100001
in = 00011100011, out = 0001110100101110
in = 00011100100, out = 0001110101000111
in = 00011100101, out = 0001110101001000
in = 00011100110, out = 0001110101110100
in = 00011100111, out = 0001110101111011
in = 00011101000, out = 0001110110000100
in = 00011101001, out = 0001110110001011
in = 00011101010, out = 0001110110110111
in = 00011101011, out = 0001110110111000
in = 00011101100, out = 0001110111010001
in = 00011101101, out = 0001110111011110
in = 00011101110, out = 0001110111100010
in = 00011101111, out = 0001110111101101
in = 00011110000, out = 0001111000010001
in = 00011110001, out = 0001111000011110
in = 00011110010, out = 0001111000100010
in = 00011110011, out = 0001111000101101
in = 00011110100, out = 0001111001000100
in = 00011110101, out = 0001111001001011
in = 00011110110, out = 0001111001110111
in = 00011110111, out = 0001111001111000
in = 00011111000, out = 0001111010000111
in = 00011111001, out = 0001111010001000
in = 00011111010, out = 0001111010110100
in = 00011111011, out = 0001111010111011
in = 00011111100, out = 0001111011010010
in = 00011111101, out = 0001111011011101
in = 00011111110, out = 0001111011100001
in = 00011111111, out = 0001111011101110
in = 00100000000, out = 0010000100010010
in = 00100000001, out = 0010000100011101
in = 00100000010, out = 0010000100100001
in = 00100000011, out = 0010000100101110
in = 00100000100, out = 0010000101000111
in = 00100000101, out = 0010000101001000
in = 00100000110, out = 0010000101110100
in = 00100000111, out = 0010000101111011
in = 00100001000, out = 0010000110000100
in = 00100001001, out = 0010000110001011
in = 00100001010, out = 0010000110110111
in = 00100001011, out = 0010000110111000
in = 00100001100, out = 0010000111010001
in = 00100001101, out = 0010000111011110
in = 00100001110, out = 0010000111100010
in = 00100001111, out = 0010000111101101
in = 00100010000, out = 0010001000010001
in = 00100010001, out = 0010001000011110
in = 00100010010, out = 0010001000100010
in = 00100010011, out = 0010001000101101
in = 00100010100, out = 0010001001000100
in = 00100010101, out = 0010001001001011
in = 00100010110, out = 0010001001110111
in = 00100010111, out = 0010001001111000
in = 00100011000, out = 0010001010000111
in = 00100011001, out = 0010001010001000
in = 00100011010, out = 0010001010110100
in = 00100011011, out = 0010001010111011
in = 00100011100, out = 0010001011010010
in = 00100011101, out = 0010001011011101
in = 00100011110, out = 0010001011100001
in = 00100011111, out = 0010001011101110
in = 00100100000, out = 0010010000010111
in = 00100100001, out = 0010010000011000
in = 00100100010, out = 0010010000100100
in = 00100100011, out = 0010010000101011
in = 00100100100, out = 0010010001000010
in = 00100100101, out = 0010010001001101
in = 00100100110, out = 0010010001110001
in = 00100100111, out = 0010010001111110
in = 00100101000, out = 0010010010000001
in = 00100101001, out = 0010010010001110
in = 00100101010, out = 0010010010110010
in = 00100101011, out = 0010010010111101
in = 00100101100, out = 0010010011010100
in = 00100101101, out = 0010010011011011
in = 00100101110, out = 0010010011100111
in = 00100101111, out = 0010010011101000
in = 00100110000, out = 0010011100010100
in = 00100110001, out = 0010011100011011
in = 00100110010, out = 0010011100100111
in = 00100110011, out = 0010011100101000
in = 00100110100, out = 0010011101000001
in = 00100110101, out = 0010011101001110
in = 00100110110, out = 0010011101110010
in = 00100110111, out = 0010011101111101
in = 00100111000, out = 0010011110000010
in = 00100111001, out = 0010011110001101
in = 00100111010, out = 0010011110110001
in = 00100111011, out = 0010011110111110
in = 00100111100, out = 0010011111010111
in = 00100111101, out = 0010011111011000
in = 00100111110, out = 0010011111100100
in = 00100111111, out = 0010011111101011
in = 00101000000, out = 0010100000010100
in = 00101000001, out = 0010100000011011
in = 00101000010, out = 0010100000100111
in = 00101000011, out = 0010100000101000
in = 00101000100, out = 0010100001000001
in = 00101000101, out = 0010100001001110
in = 00101000110, out = 0010100001110010
in = 00101000111, out = 0010100001111101
in = 00101001000, out = 0010100010000010
in = 00101001001, out = 0010100010001101
in = 00101001010, out = 0010100010110001
in = 00101001011, out = 0010100010111110
in = 00101001100, out = 0010100011010111
in = 00101001101, out = 0010100011011000
in = 00101001110, out = 0010100011100100
in = 00101001111, out = 0010100011101011
in = 00101010000, out = 0010101100010111
in = 00101010001, out = 0010101100011000
in = 00101010010, out = 0010101100100100
in = 00101010011, out = 0010101100101011
in = 00101010100, out = 0010101101000010
in = 00101010101, out = 0010101101001101
in = 00101010110, out = 0010101101110001
in = 00101010111, out = 0010101101111110
in = 00101011000, out = 0010101110000001
in = 00101011001, out = 0010101110001110
in = 00101011010, out = 0010101110110010
in = 00101011011, out = 0010101110111101
in = 00101011100, out = 0010101111010100
in = 00101011101, out = 0010101111011011
in = 00101011110, out = 0010101111100111
in = 00101011111, out = 0010101111101000
in = 00101100000, out = 0010110100010001
in = 00101100001, out = 0010110100011110
in = 00101100010, out = 0010110100100010
in = 00101100011, out = 0010110100101101
in = 00101100100, out = 0010110101000100
in = 00101100101, out = 0010110101001011
in = 00101100110, out = 0010110101110111
in = 00101100111, out = 0010110101111000
in = 00101101000, out = 0010110110000111
in = 00101101001, out = 0010110110001000
in = 00101101010, out = 0010110110110100
in = 00101101011, out = 0010110110111011
in = 00101101100, out = 0010110111010010
in = 00101101101, out = 0010110111011101
in = 00101101110, out = 0010110111100001
in = 00101101111, out = 0010110111101110
in = 00101110000, out = 0010111000010010
in = 00101110001, out = 0010111000011101
in = 00101110010, out = 0010111000100001
in = 00101110011, out = 0010111000101110
in = 00101110100, out = 0010111001000111
in = 00101110101, out = 0010111001001000
in = 00101110110, out = 0010111001110100
in = 00101110111, out = 0010111001111011
in = 00101111000, out = 0010111010000100
in = 00101111001, out = 0010111010001011
in = 00101111010, out = 0010111010110111
in = 00101111011, out = 0010111010111000
in = 00101111100, out = 0010111011010001
in = 00101111101, out = 0010111011011110
in = 00101111110, out = 0010111011100010
in = 00101111111, out = 0010111011101101
in = 00110000000, out = 0011000000000011
in = 00110000001, out = 0011000000001100
in = 00110000010, out = 0011000000110000
in = 00110000011, out = 0011000000111111
in = 00110000100, out = 0011000001010110
in = 00110000101, out = 0011000001011001
in = 00110000110, out = 0011000001100101
in = 00110000111, out = 0011000001101010
in = 00110001000, out = 0011000010010101
in = 00110001001, out = 0011000010011010
in = 00110001010, out = 0011000010100110
in = 00110001011, out = 0011000010101001
in = 00110001100, out = 0011000011000000
in = 00110001101, out = 0011000011001111
in = 00110001110, out = 0011000011110011
in = 00110001111, out = 0011000011111100
in = 00110010000, out = 0011001100000000
in = 00110010001, out = 0011001100001111
in = 00110010010, out = 0011001100110011
in = 00110010011, out = 0011001100111100
in = 00110010100, out = 0011001101010101
in = 00110010101, out = 0011001101011010
in = 00110010110, out = 0011001101100110
in = 00110010111, out = 0011001101101001
in = 00110011000, out = 0011001110010110
in = 00110011001, out = 0011001110011001
in = 00110011010, out = 0011001110100101
in = 00110011011, out = 0011001110101010
in = 00110011100, out = 0011001111000011
in = 00110011101, out = 0011001111001100
in = 00110011110, out = 0011001111110000
in = 00110011111, out = 0011001111111111
in = 00110100000, out = 0011010100000110
in = 00110100001, out = 0011010100001001
in = 00110100010, out = 0011010100110101
in = 00110100011, out = 0011010100111010
in = 00110100100, out = 0011010101010011
in = 00110100101, out = 0011010101011100
in = 00110100110, out = 0011010101100000
in = 00110100111, out = 0011010101101111
in = 00110101000, out = 0011010110010000
in = 00110101001, out = 0011010110011111
in = 00110101010, out = 0011010110100011
in = 00110101011, out = 0011010110101100
in = 00110101100, out = 0011010111000101
in = 00110101101, out = 0011010111001010
in = 00110101110, out = 0011010111110110
in = 00110101111, out = 0011010111111001
in = 00110110000, out = 0011011000000101
in = 00110110001, out = 0011011000001010
in = 00110110010, out = 0011011000110110
in = 00110110011, out = 0011011000111001
in = 00110110100, out = 0011011001010000
in = 00110110101, out = 0011011001011111
in = 00110110110, out = 0011011001100011
in = 00110110111, out = 0011011001101100
in = 00110111000, out = 0011011010010011
in = 00110111001, out = 0011011010011100
in = 00110111010, out = 0011011010100000
in = 00110111011, out = 0011011010101111
in = 00110111100, out = 0011011011000110
in = 00110111101, out = 0011011011001001
in = 00110111110, out = 0011011011110101
in = 00110111111, out = 0011011011111010
in = 00111000000, out = 0011100100000101
in = 00111000001, out = 0011100100001010
in = 00111000010, out = 0011100100110110
in = 00111000011, out = 0011100100111001
in = 00111000100, out = 0011100101010000
in = 00111000101, out = 0011100101011111
in = 00111000110, out = 0011100101100011
in = 00111000111, out = 0011100101101100
in = 00111001000, out = 0011100110010011
in = 00111001001, out = 0011100110011100
in = 00111001010, out = 0011100110100000
in = 00111001011, out = 0011100110101111
in = 00111001100, out = 0011100111000110
in = 00111001101, out = 0011100111001001
in = 00111001110, out = 0011100111110101
in = 00111001111, out = 0011100111111010
in = 00111010000, out = 0011101000000110
in = 00111010001, out = 0011101000001001
in = 00111010010, out = 0011101000110101
in = 00111010011, out = 0011101000111010
in = 00111010100, out = 0011101001010011
in = 00111010101, out = 0011101001011100
in = 00111010110, out = 0011101001100000
in = 00111010111, out = 0011101001101111
in = 00111011000, out = 0011101010010000
in = 00111011001, out = 0011101010011111
in = 00111011010, out = 0011101010100011
in = 00111011011, out = 0011101010101100
in = 00111011100, out = 0011101011000101
in = 00111011101, out = 0011101011001010
